,Date,User,Tweet
119,2021-11-01 22:39:31+00:00,SenninDojo,"Free membership &amp; journal subscription in the International Japanese Yoga Association: https://t.co/mkJHSFJEm1.
#japanese #yoga #meditate #yogalife #zen #aikido #yogateacher #yogainspiration #health #WellnessJourney #enlightenment #Yogi #holistic #innerpeace #MondayMotivation"
120,2021-11-01 22:39:12+00:00,SnowGoddessLT,@_yogi_Bear_61 Bless you. 🙏🏻
121,2021-11-01 22:38:28+00:00,_yogi_Bear_61,@prcmamat Most of the time I don't even know until.. well when it comes out
122,2021-11-01 22:38:23+00:00,mamacat2u,@_yogi_Bear_61 Oh no!! I will keep you in my prayers! 🙏🏻🙏🏻🙏🏻❤
123,2021-11-01 22:37:46+00:00,SkyKingofHearts,@yogi__xx You want a 6 pack of beer with one can missing?
124,2021-11-01 22:37:41+00:00,jsmith4966,@_yogi_Bear_61 Ouch! Take care!
125,2021-11-01 22:37:26+00:00,prcmamat,@_yogi_Bear_61 Ouch! Hopefully you will pass them all quickly.
126,2021-11-01 22:36:05+00:00,JoseFSa55876365,"@yugiohtas Shrek, Yogi Bear, Scooby Doo, Fred Flintstone, and who could forget everyone's favorite, Jabberjaw. https://t.co/0xWrWMslJA"
127,2021-11-01 22:36:02+00:00,HughJorgen2,@_yogi_Bear_61 The evil need no reasons.
128,2021-11-01 22:35:59+00:00,Flashlight_Slim,So my soulmate is a black yogi in LA apparently…sound abt right
129,2021-11-01 22:35:49+00:00,_yogi_Bear_61,@HeirloomVeget Yes Doc 😁
130,2021-11-01 22:35:20+00:00,Da_Real_Yogi,"@DeVourieNesbySr How do they afford it? 
Stafford&amp;Darnold 135 mil
Ramsey 100 mil
Woods 65 mil
Floyd 64 mil
Cupp 47 mil

And they can afford Von Miller's 114 mil?"
131,2021-11-01 22:34:59+00:00,_yogi_Bear_61,@HughJorgen2 What did I do 🤣🤣🤣🤣🤣🤣
132,2021-11-01 22:34:22+00:00,HughJorgen2,@_yogi_Bear_61 It was probably my ex-wife.
133,2021-11-01 22:34:20+00:00,_yogi_Bear_61,"@missymohum IDK, should I check Guinness World Book"
134,2021-11-01 22:34:17+00:00,HeirloomVeget,"@_yogi_Bear_61 So they are white, I used to get kidney stones all the time you need more Calcium from natural sources like hard cheeses sharp white cheddar count your calcium intake 1200 mg a day but not all at the same time your body cannot absorb it 400 mg per meal 3x a day no supplements"
135,2021-11-01 22:33:08+00:00,jessimiller7513,@_yogi_Bear_61 My prayers are with you....
136,2021-11-01 22:32:50+00:00,_yogi_Bear_61,@Dave788033919 I've been told that a time or two in my life
137,2021-11-01 22:32:50+00:00,meter_usaid,"@_yogi_Bear_61 🙏🏻🥰 My son dealt with these a lot in his early teens, thankfully has grown out of them? 🤷🏼‍♀️ https://t.co/2Zw8lKkVap"
138,2021-11-01 22:31:32+00:00,August_Macias,@AGuyWhoDraws That Yogi Bear movie was a total surprise that the celebrity voice casting it got decided to do an impression instead of just using their regular voice. I have to tip my hat to that.
139,2021-11-01 22:31:16+00:00,JanePor00325520,"@YogiTheGoodBoy Yogi, you're a romantic.  No girl would turn you down with that lovely venue.  I hope your dream comes true.  A wedding would lift everyone's spirits."
140,2021-11-01 22:30:08+00:00,the_web3_yogi,Requesting faucet funds into 0x0x26f792eB9808041706b3e0eD96D2fA353fC05CB3 on the #Rinkeby #Ethereum test network.
141,2021-11-01 22:30:01+00:00,ToddPet98496466,@_yogi_Bear_61 All I know is if it ain't pee you better rely on God to make the pain go away God bless you man
142,2021-11-01 22:29:50+00:00,Urban__Yogi,$ens airdrop incoming. #grateful #thankful https://t.co/FphoiNVrGa
143,2021-11-01 22:29:29+00:00,jameyvonde,@_yogi_Bear_61 Oh no!!!! 🙏🏻🙏🏻🙏🏻🙏🏻
144,2021-11-01 22:29:24+00:00,yogi_kong,@killips_scott @ohheytommy Don’t worry you’ll get paid on 11/9
145,2021-11-01 22:29:10+00:00,Peggy__________,@_yogi_Bear_61 Omgosh I'm sorry 🙏
146,2021-11-01 22:28:49+00:00,_yogi_Bear_61,"@benjami27509423 She is beautiful, I had one named Ripley she was the biggest lover in the world but the farts ... oh man 🤢"
147,2021-11-01 22:27:06+00:00,Grumpyfocker,"@_yogi_Bear_61 I’ve had some that were really painful and some that weren’t that bad, you must be eating or drinking something that is causing them"
148,2021-11-01 22:27:02+00:00,_yogi_Bear_61,@LoneTurtle2 I'll run with it
149,2021-11-01 22:25:55+00:00,_yogi_Bear_61,"@HeirloomVeget They are calcium oxalate stones have had issues for last 6 or so years. Just odd that they are moving along so fast, I have been drinking a lot more water. They range in size from .5mm to 8mm, my urologist about died when I showed him a 10mm stone one time 🤣🤣"
150,2021-11-01 22:25:48+00:00,benjami27509423,"@_yogi_Bear_61 Her, we have unfortunately had her 1 year and 2 weeks now.  She was my wifes nephews girl.  He died at 37 from an undiagnosed heart issue.  Her name is Riley and she is just awesome."
151,2021-11-01 22:25:08+00:00,yogi_kong,"@unusual_whales why $KPLT has best risk to reward ratio 

https://t.co/2TGOMfTztR"
152,2021-11-01 22:24:59+00:00,mikelev58,"@_yogi_Bear_61 Oh man, 🙏🙏"
153,2021-11-01 22:24:32+00:00,Urban__Yogi,@dodo050595 Is it per wallet or based on how many names do you own?
154,2021-11-01 22:23:13+00:00,Rider2Texas,@_yogi_Bear_61 🙏🏻🙏🏻🙏🏻 at least you’re passing them. Some don’t.
155,2021-11-01 22:22:59+00:00,angieti,"@_yogi_Bear_61 Oh no, friend! I’ll be praying for you!"
156,2021-11-01 22:22:49+00:00,MikeKasparek,@_yogi_Bear_61 I feel for you.
157,2021-11-01 22:22:36+00:00,LoneTurtle2,"@_yogi_Bear_61 Consider: hex means six, you’ve only one more to go!  

I’m trying desperately to edify your situation!  😳😉🤪🐢"
158,2021-11-01 22:22:35+00:00,_yogi_Bear_61,"@benjami27509423 Awe look at that big sweetheart, give him belly rubs for me or her ?🥰"
159,2021-11-01 22:22:04+00:00,coyotelongrider,"@_yogi_Bear_61 Now, you do understand that kidney stones are caused by bein' an ornery old coot. I expect my diagnosis any time now. https://t.co/YT4cYa8l6G"
160,2021-11-01 22:21:55+00:00,DanMack62,@_yogi_Bear_61 Yes the colors are wonderful
161,2021-11-01 22:21:52+00:00,drraystep,@_yogi_Bear_61 Oh no yogi
162,2021-11-01 22:20:55+00:00,HeirloomVeget,"@_yogi_Bear_61 This may sound strange, but the color of them will reveal the cause what color?"
163,2021-11-01 22:20:51+00:00,yogi_kong,"Why $KPLT is beaten down badly and has a chance of huge returns @stocktalkweekly @AlanStonkson @spacanpanman @anthony_einhorn 

https://t.co/2TGOMfTztR"
164,2021-11-01 22:20:26+00:00,viveksi8873,Liked on YouTube: 🙋 योगी जी पर उठाए गए सवाल 🙋 yogi Ji ne Diya dhamakedar interview live 🙋🙋🙋 shorts https://t.co/d4vOEmiyqc
165,2021-11-01 22:20:11+00:00,steveclemmer,@_yogi_Bear_61 You take care with those stones.
166,2021-11-01 22:20:06+00:00,RathThiago,"Chris Pratt have been casted to ""Yogi Bear 2"" as ""Snagglepuss"" 

We don't have more details about the movie https://t.co/3MJyARW5FT"
167,2021-11-01 22:19:18+00:00,MELLOWCELLO1,"DON'T call me Yogi !!..I'm a relaxed bear doing my Yoga to Mellow's smooth music:-)

https://t.co/NgtbxfSe6n … https://t.co/xpr0ZOne1W"
168,2021-11-01 22:19:12+00:00,_yogi_Bear_61,@DanMack62 love the fall colors
169,2021-11-01 22:19:04+00:00,choirexcusebot,"According to my yogi, I didn't expect it, but I might have toxoplasmosis ."
170,2021-11-01 22:18:46+00:00,ElizabethShaw12,"Saw a news story on a man who has played tennis for ""half a century"". My 1st thought was I've played tennis, been a runner &amp; yogi for MORE than half a century. Damn, how did that happen? 😣 #LifeIsShortBeHappy"
171,2021-11-01 22:17:38+00:00,chess_yogi,@StoolGreenie Has little to do with Horford’s spacing as he has been terrible.  More to do with Williams ability to guard perimeter 4s.
172,2021-11-01 22:16:47+00:00,_yogi_Bear_61,Not sure who put a hex on me but I have passed 5 kidney stones in the last 7 days and am passing another one. Luckily they do not cause too much pain but come on about enough already.
173,2021-11-01 22:15:25+00:00,jeffreyc79,Poor Yogi's gonna have some wild poops. https://t.co/TR4esjNbxj
174,2021-11-01 22:14:57+00:00,rockinamanda,"@laurenloprete Yogi’s Egyptian Licorice is naturally sweet and warming, leaving a lovely aftertaste. Not deeply licorice-y! I found it searching for an easier-to-use version of Aveda’s comforting tea, which is also recommended! They both can steep indefinitely."
175,2021-11-01 22:12:14+00:00,amber_silva2001,@prattprattpratt Is Yogi Bear or Goku on the next list for you?
176,2021-11-01 22:11:44+00:00,yogi_kong,@MrZackMorris Then check this out https://t.co/2TGOMfTztR
177,2021-11-01 22:11:33+00:00,InnovativeHindu,"@ggiittiikkaa Ma'am, you should give credit to CM Yogi Ji, 33000 pages documents written in Urdu and Sanskrit held Prayagraj HC(I will call it like that here after) was translated to English and presented is SC humongous task, so that SC can't sit idle on Ram Janmabhoomi case any longer."
178,2021-11-01 22:10:26+00:00,SridharKommidi,@gilkumar @_sabanaqvi you should get your head out of rear...Yogi said..they and the neighbour will be bombed if they attempt to sneak into the country...not the India will take over Afghanistan...
179,2021-11-01 22:10:02+00:00,amber_silva2001,@DiscussingFilm Next up he voice Yogi Bear
180,2021-11-01 22:09:47+00:00,_yogi_Bear_61,@peasler1 Glad to see you back 😀
181,2021-11-01 22:09:29+00:00,AnnaLeptikon,"My (patient and) superb Master thesis supervisor @yoginho spoke on one of my favourite podcasts, @BrainInspired by Paul Middlebrooks. The podcast made me finally sign up to Patreon because I could not justify not supporting it! Go listen to both BI and Yogi ❤️ https://t.co/aqGoWnzDgD"
182,2021-11-01 22:07:54+00:00,HeirloomVeget,@_yogi_Bear_61 @jjcevering Nice
